x:  0.7 , xnext:  0.798
x:  0.189098481856 , xnext:  0.582692934859
x:  0.582692934859 , xnext:  0.924015138393
x:  0.924015138393 , xnext:  0.266802417172
x:  0.266802417172 , xnext:  0.743351771981
x:  0.743351771981 , xnext:  0.72496367728
x:  0.72496367728 , xnext:  0.757687106837
x:  0.757687106837 , xnext:  0.697669948886
x:  0.697669948886 , xnext:  0.801521046968
x:  0.801521046968 , xnext:  0.604523221295
x:  0.604523221295 , xnext:  0.908484605599
x:  0.908484605599 , xnext:  0.315933242557
x:  0.315933242557 , xnext:  0.821253829457
x:  0.821253829457 , xnext:  0.557824712824
x:  0.557824712824 , xnext:  0.93729394983
x:  0.93729394983 , xnext:  0.223341205481
x:  0.223341205481 , xnext:  0.659147663378
x:  0.659147663378 , xnext:  0.853753680717
x:  0.853753680717 , xnext:  0.47446166684
x:  0.47446166684 , xnext:  0.94752161545
x:  0.94752161545 , xnext:  0.18895273408
x:  0.18895273408 , xnext:  0.582348473783
x:  0.582348473783 , xnext:  0.92423116969
x:  0.92423116969 , xnext:  0.266106075723
x:  0.266106075723 , xnext:  0.742115802307
x:  0.742115802307 , xnext:  0.727243765438
x:  0.727243765438 , xnext:  0.753769030064
x:  0.753769030064 , xnext:  0.705284861645
x:  0.705284861645 , xnext:  0.789860877201
x:  0.789860877201 , xnext:  0.630726553099
x:  0.630726553099 , xnext:  0.885060159596
x:  0.885060159596 , xnext:  0.386568959268
x:  0.386568959268 , xnext:  0.901106916194
x:  0.901106916194 , xnext:  0.338630318768
x:  0.338630318768 , xnext:  0.85104733872
x:  0.85104733872 , xnext:  0.481709910714
x:  0.481709910714 , xnext:  0.948728796009
x:  0.948728796009 , xnext:  0.184841377003
x:  0.184841377003 , xnext:  0.572565160933
x:  0.572565160933 , xnext:  0.929990330191
x:  0.929990330191 , xnext:  0.24741160058
x:  0.24741160058 , xnext:  0.707556581817
x:  0.707556581817 , xnext:  0.786297008309
x:  0.786297008309 , xnext:  0.638529287527
x:  0.638529287527 , xnext:  0.877076618689
x:  0.877076618689 , xnext:  0.409690249824
x:  0.409690249824 , xnext:  0.919007766288
x:  0.919007766288 , xnext:  0.282843468803
x:  0.282843468803 , xnext:  0.770803555642
x:  0.770803555642 , xnext:  0.671328650157
x:  0.671328650157 , xnext:  0.838456675815
x:  0.838456675815 , xnext:  0.514698898667
x:  0.514698898667 , xnext:  0.949178981036
x:  0.949178981036 , xnext:  0.183305323382
x:  0.183305323382 , xnext:  0.568877030846
x:  0.568877030846 , xnext:  0.931972627563
x:  0.931972627563 , xnext:  0.240918666338
x:  0.240918666338 , xnext:  0.694932077682
x:  0.694932077682 , xnext:  0.805605643345
x:  0.805605643345 , xnext:  0.595099724872
x:  0.595099724872 , xnext:  0.915632960851
x:  0.915632960851 , xnext:  0.293547119045
x:  0.293547119045 , xnext:  0.788033390193
x:  0.788033390193 , xnext:  0.634739711309
x:  0.634739711309 , xnext:  0.881011798746
x:  0.881011798746 , xnext:  0.398354035022
x:  0.398354035022 , xnext:  0.910738771654
x:  0.910738771654 , xnext:  0.308915913549
x:  0.308915913549 , xnext:  0.81125011324
x:  0.81125011324 , xnext:  0.581868794631
x:  0.581868794631 , xnext:  0.92453050177
x:  0.92453050177 , xnext:  0.265140641655
x:  0.265140641655 , xnext:  0.740396110831
x:  0.740396110831 , xnext:  0.730396897609
x:  0.730396897609 , xnext:  0.748285624374
x:  0.748285624374 , xnext:  0.715746145171
x:  0.715746145171 , xnext:  0.773123683207
x:  0.773123683207 , xnext:  0.666533123952
x:  0.666533123952 , xnext:  0.844613530781
x:  0.844613530781 , xnext:  0.49871775473
x:  0.49871775473 , xnext:  0.949993752219
x:  0.949993752219 , xnext:  0.180521367263
x:  0.180521367263 , xnext:  0.562146932254
x:  0.562146932254 , xnext:  0.935323483484
x:  0.935323483484 , xnext:  0.229875165965
x:  0.229875165965 , xnext:  0.672723781343
x:  0.672723781343 , xnext:  0.836632682362
x:  0.836632682362 , xnext:  0.51937806123
x:  0.51937806123 , xnext:  0.948573064823
x:  0.948573064823 , xnext:  0.185372380957
x:  0.185372380957 , xnext:  0.573835953074
x:  0.573835953074 , xnext:  0.929283357728
x:  0.929283357728 , xnext:  0.249720035356
x:  0.249720035356 , xnext:  0.711967769333
x:  0.711967769333 , xnext:  0.779264726104
x:  0.779264726104 , xnext:  0.653642608466
x:  0.653642608466 , xnext:  0.860297005683
x:  0.860297005683 , xnext:  0.456707057245
x:  0.456707057245 , xnext:  0.942877740209
x:  0.942877740209 , xnext:  0.204665367464
x:  0.204665367464 , xnext:  0.618554328334
x:  0.618554328334 , xnext:  0.896590510686
x:  0.896590510686 , xnext:  0.352320673968
x:  0.352320673968 , xnext:  0.867125103318
x:  0.867125103318 , xnext:  0.437832802352
x:  0.437832802352 , xnext:  0.935313910239
x:  0.935313910239 , xnext:  0.2299068383
x:  0.2299068383 , xnext:  0.67278879921
x:  0.67278879921 , xnext:  0.836547317296
x:  0.836547317296 , xnext:  0.519596432239
x:  0.519596432239 , xnext:  0.948540723405
x:  0.948540723405 , xnext:  0.185482633899
x:  0.185482633899 , xnext:  0.574099540399
x:  0.574099540399 , xnext:  0.929135180828
x:  0.929135180828 , xnext:  0.250203386987
x:  0.250203386987 , xnext:  0.712886278083
x:  0.712886278083 , xnext:  0.777781843896
x:  0.777781843896 , xnext:  0.656781539367
x:  0.656781539367 , xnext:  0.856594285872
x:  0.856594285872 , xnext:  0.466793958078
x:  0.466793958078 , xnext:  0.945809963364
x:  0.945809963364 , xnext:  0.19476321095
x:  0.19476321095 , xnext:  0.59595590992
x:  0.59595590992 , xnext:  0.915011360735
x:  0.915011360735 , xnext:  0.29550916775
x:  0.29550916775 , xnext:  0.791097298197
