Frequency (Hz)	Level (dB)
537.657166	-38.337513
538.330078	-38.246681
539.002991	-38.091240
539.675903	-37.197468
540.348816	-36.621342
541.021729	-36.025208
541.694641	-36.357506
542.367554	-36.430359
543.040466	-35.562099
543.713379	-33.844467
544.386292	-33.028221
545.059204	-32.968258
545.732117	-31.245007
546.405029	-30.719887
547.077942	-30.515701
547.750854	-30.054028
548.423767	-29.277136
549.096680	-29.289194
549.769592	-27.628141
550.442505	-27.317945
551.115417	-28.074068
551.788330	-29.129168
552.461243	-29.107258
553.134155	-29.039326
553.807068	-29.221216
554.479980	-29.510029
555.152893	-30.272482
555.825806	-32.039726
556.498718	-33.805828
557.171631	-34.797375
557.844543	-35.940727
558.517456	-37.286617
559.190369	-37.788265
559.863281	-38.434418
560.536194	-38.862419
561.209106	-39.220680
561.882019	-39.609810
562.554932	-39.195660
563.227844	-39.144802
563.900757	-40.281860
564.573669	-40.609192
565.246582	-40.486919
565.919495	-40.457634
566.592407	-40.360119
567.265320	-40.933681
567.938232	-41.043430
568.611145	-41.102951
569.284058	-41.040119
569.956970	-41.441940
570.629883	-42.101109
571.302795	-42.135239
571.975708	-42.024441
572.648621	-42.550362
573.321533	-41.975433
573.994446	-41.704426
574.667358	-41.382946
575.340271	-41.639996
576.013184	-42.057983
576.686096	-42.311077
577.359009	-43.020542
578.031921	-42.984428
578.704834	-42.489578
579.377747	-42.805111
580.050659	-43.046978
580.723572	-42.849617
581.396484	-42.518669
582.069397	-42.403683
582.742310	-42.618065
583.415222	-43.058147
584.088135	-42.870323
584.761047	-42.850319
585.433960	-43.160904
586.106873	-43.510098
586.779785	-43.231747
587.452698	-43.717316
588.125610	-43.262802
588.798523	-43.231548
589.471436	-43.264889
590.144348	-42.788239
590.817261	-42.891449
591.490173	-43.033672
592.163086	-42.751816
592.835999	-42.282940
593.508911	-42.342728
594.181824	-42.425632
594.854736	-42.290733
595.527649	-42.272804
596.200562	-43.142918
596.873474	-42.668182
597.546387	-42.384293
598.219299	-42.311012
598.892212	-41.676094
599.565125	-41.876297
600.238037	-41.519108
600.910950	-41.868694
601.583862	-41.290234
602.256775	-40.842243
602.929688	-41.215370
603.602600	-41.181259
604.275513	-40.322056
604.948425	-40.422436
605.621338	-39.693283
606.294250	-40.120251
606.967163	-39.723476
607.640076	-40.019802
608.312988	-41.427803
608.985901	-40.578335
609.658813	-40.006626
610.331726	-40.064049
611.004639	-40.636154
611.677551	-40.898903
612.350464	-40.475449
613.023376	-40.307468
613.696289	-40.353416
614.369202	-40.247265
615.042114	-40.254311
615.715027	-39.646172
616.387939	-39.426472
617.060852	-39.544289
617.733765	-39.037685
618.406677	-38.950230
619.079590	-38.417130
619.752502	-35.561470
620.425415	-35.146706
621.098328	-37.922413
621.771240	-37.027626
622.444153	-35.871059
623.117065	-38.104229
623.789978	-36.663879
624.462891	-34.644985
625.135803	-36.928413
625.808716	-38.756977
626.481628	-38.111931
627.154541	-38.497837
627.827454	-39.363873
628.500366	-39.939693
629.173279	-40.623760
629.846191	-40.845528
630.519104	-40.816803
631.192017	-40.757908
631.864929	-40.340111
632.537842	-41.476921
633.210754	-41.488739
633.883667	-41.416683
634.556580	-41.116543
635.229492	-41.277092
635.902405	-41.120724
636.575317	-40.295410
637.248230	-40.445671
637.921143	-39.874454
638.594055	-39.709335
639.266968	-39.699219
639.939880	-39.957348
640.612793	-41.031670
641.285706	-40.570312
641.958618	-40.172134
642.631531	-39.693977
643.304443	-40.756989
643.977356	-40.047203
644.650269	-39.238075
645.323181	-38.941639
645.996094	-38.436474
646.669006	-38.490005
647.341919	-37.826908
648.014832	-37.639236
648.687744	-37.506111
649.360657	-37.925396
650.033569	-38.680099
650.706482	-39.494678
651.379395	-40.291019
652.052307	-39.330349
652.725220	-38.231941
653.398132	-38.495159
654.071045	-39.832500
654.743958	-40.658772
655.416870	-40.692356
656.089783	-40.534489
656.762695	-41.054928
657.435608	-41.418793
658.108521	-41.463848
658.781433	-42.100830
659.454346	-43.182247
660.127258	-42.831139
660.800171	-42.451374
661.473083	-42.612949
662.145996	-42.792015
662.818909	-42.990753
663.491821	-42.946850
664.164734	-43.041008
664.837646	-42.956673
665.510559	-41.976685
666.183472	-41.749149
666.856384	-41.862862
667.529297	-42.325768
668.202209	-42.960503
668.875122	-42.903584
669.548035	-43.244350
670.220947	-43.335125
670.893860	-42.892452
671.566772	-43.016891
672.239685	-43.147038
672.912598	-42.780342
673.585510	-42.737911
674.258423	-43.191261
674.931335	-43.522835
675.604248	-43.626347
676.277161	-43.556061
676.950073	-43.914875
677.622986	-44.065491
678.295898	-43.999332
678.968811	-43.345020
679.641724	-43.552872
680.314636	-43.970085
680.987549	-43.583862
681.660461	-43.386555
682.333374	-43.591843
683.006287	-44.217896
683.679199	-44.038765
684.352112	-43.395840
685.025024	-43.123947
685.697937	-43.329052
686.370850	-42.313931
687.043762	-41.242645
687.716675	-41.915462
688.389587	-39.528961
689.062500	-36.645889
689.735413	-38.140827
690.408325	-40.793385
691.081238	-39.302273
691.754150	-39.949375
692.427063	-40.926670
693.099976	-37.516182
693.772888	-37.343708
694.445801	-41.016994
695.118713	-42.041840
695.791626	-41.862263
696.464539	-43.661053
697.137451	-44.922909
697.810364	-45.225601
698.483276	-45.921642
699.156189	-45.709743
699.829102	-45.386093
700.502014	-46.097786
701.174927	-46.508644
701.847839	-45.785080
702.520752	-45.741749
703.193665	-46.062950
703.866577	-46.591259
704.539490	-46.310844
705.212402	-46.431095
705.885315	-46.199173
706.558228	-45.694599
707.231140	-46.314201
707.904053	-46.442116
708.576965	-45.773777
709.249878	-46.082821
709.922791	-46.605545
710.595703	-45.900009
711.268616	-45.533604
711.941528	-45.537140
712.614441	-46.107529
713.287354	-45.726250
713.960266	-46.082863
714.633179	-46.466015
715.306091	-45.852463
715.979004	-44.955002
716.651917	-43.769955
717.324829	-44.197449
717.997742	-44.369080
718.670654	-44.211720
719.343567	-43.935890
720.016479	-44.239624
720.689392	-44.015804
721.362305	-44.080742
722.035217	-44.202007
722.708130	-43.392899
723.381042	-43.152618
724.053955	-43.235611
724.726868	-43.933289
725.399780	-42.446442
726.072693	-41.915771
726.745605	-43.099636
727.418518	-43.029671
728.091431	-43.048351
728.764343	-42.844128
729.437256	-43.500786
730.110168	-42.557945
730.783081	-42.962955
731.455994	-43.477470
732.128906	-43.045567
732.801819	-42.309750
733.474731	-42.822369
734.147644	-43.873497
734.820557	-44.939213
735.493469	-44.388828
736.166382	-45.004768
736.839294	-44.303650
737.512207	-43.554165
738.185120	-43.963978
738.858032	-44.687984
739.530945	-45.430771
740.203857	-45.193863
740.876770	-45.315681
741.549683	-46.446163
742.222595	-46.480236
742.895508	-46.591656
743.568420	-46.396141
744.241333	-46.589687
744.914246	-46.484215
745.587158	-46.756824
746.260071	-46.868500
746.932983	-46.236103
747.605896	-46.635857
748.278809	-48.106865
748.951721	-47.348335
749.624634	-46.805103
750.297546	-47.259823
750.970459	-47.198402
751.643372	-46.977711
752.316284	-46.796455
752.989197	-46.081833
753.662109	-45.798126
754.335022	-46.644295
755.007935	-45.821941
755.680847	-44.981377
756.353760	-44.490501
757.026672	-44.403736
757.699585	-43.004543
758.372498	-42.283386
759.045410	-43.241478
759.718323	-43.360115
760.391235	-43.983143
761.064148	-43.023361
761.737061	-42.767704
762.409973	-41.867458
763.082886	-42.569202
763.755798	-44.020569
764.428711	-43.312023
765.101624	-43.853592
765.774536	-44.862328
766.447449	-45.686146
767.120361	-44.870457
767.793274	-45.131649
768.466187	-46.026207
769.139099	-46.111351
769.812012	-45.993263
770.484924	-46.697941
771.157837	-45.943344
771.830750	-45.586880
772.503662	-46.631775
773.176575	-46.594181
773.849487	-45.885437
774.522400	-45.817810
775.195312	-46.891888
775.868225	-47.539055
776.541138	-48.304882
777.214050	-48.146084
777.886963	-47.527580
778.559875	-46.543591
779.232788	-47.279648
779.905701	-46.927776
780.578613	-47.066505
781.251526	-47.758190
781.924438	-47.598618
782.597351	-46.506252
783.270264	-45.809521
783.943176	-46.439644
784.616089	-47.052246
785.289001	-47.590977
785.961914	-47.306286
786.634827	-47.678284
787.307739	-47.734863
787.980652	-47.380024
788.653564	-46.649487
789.326477	-47.133347
789.999390	-47.524590
790.672302	-47.761444
791.345215	-47.659161
792.018127	-47.564739
792.691040	-47.065910
793.363953	-48.059883
794.036865	-48.271667
794.709778	-47.377613
795.382690	-47.199329
796.055603	-48.038536
796.728516	-47.379768
797.401428	-47.736591
798.074341	-47.767811
798.747253	-47.144840
799.420166	-47.485928
800.093079	-47.739174
800.765991	-46.952301
801.438904	-47.278816
802.111816	-47.694084
802.784729	-48.380043
803.457642	-47.783352
804.130554	-47.205734
804.803467	-47.711861
805.476379	-48.373558
806.149292	-48.682110
806.822205	-48.469833
807.495117	-47.487751
808.168030	-47.751919
808.840942	-47.866596
809.513855	-47.725384
810.186768	-48.717117
810.859680	-48.925240
811.532593	-48.025414
812.205505	-48.760887
812.878418	-47.846951
813.551331	-47.125771
814.224243	-47.403114
814.897156	-47.880501
815.570068	-47.985146
816.242981	-47.910515
816.915894	-47.899082
817.588806	-48.274021
818.261719	-47.597492
818.934631	-46.659039
819.607544	-46.332485
820.280457	-45.959724
820.953369	-44.655258
821.626282	-44.139271
822.299194	-44.016239
822.972107	-43.400341
823.645020	-41.863609
824.317932	-40.976097
824.990845	-40.691963
825.663757	-39.677242
826.336670	-38.771858
827.009583	-39.027100
827.682495	-40.004528
828.355408	-40.709686
829.028320	-40.991680
829.701233	-40.194866
830.374146	-39.458618
831.047058	-39.374722
831.719971	-39.597111
832.392883	-40.533569
833.065796	-41.448284
833.738708	-42.579548
834.411621	-43.853455
835.084534	-44.778328
835.757446	-45.482624
836.430359	-46.731827
837.103271	-47.749107
837.776184	-47.034443
838.449097	-47.773129
839.122009	-48.334866
839.794922	-47.959011
840.467834	-48.567745
841.140747	-48.625233
841.813660	-48.157299
842.486572	-47.936649
843.159485	-48.891029
843.832397	-49.064930
844.505310	-49.103146
845.178223	-49.073860
845.851135	-49.118889
846.524048	-48.823025
847.196960	-48.227619
847.869873	-47.901276
848.542786	-48.115131
849.215698	-48.292183
849.888611	-48.970249
850.561523	-49.248932
851.234436	-48.419399
851.907349	-48.150440
